updated,A5,A4,A3,A2,A1,A0
28/09/2021 23:49:14,0.000,3.447,5.498,0.000,0.000,0.323
28/09/2021 23:49:09,0.000,3.459,5.498,0.000,0.000,0.425
28/09/2021 23:49:04,0.000,3.472,5.486,0.000,0.000,0.386
28/09/2021 23:48:59,0.000,3.472,5.498,0.000,0.000,0.371
28/09/2021 23:48:54,0.000,3.484,5.498,0.000,0.000,0.357
28/09/2021 23:48:49,0.000,3.459,5.474,0.000,0.000,0.337
28/09/2021 23:48:44,0.000,3.472,5.474,0.000,0.000,0.386
28/09/2021 23:48:39,0.000,3.484,5.462,0.000,0.000,0.420
28/09/2021 23:48:34,0.000,3.484,5.462,0.000,0.000,0.386
28/09/2021 23:48:29,0.000,3.484,5.486,0.000,0.000,0.396
28/09/2021 23:48:24,0.000,3.472,5.450,0.000,0.000,0.401
28/09/2021 23:48:19,0.000,3.447,5.450,0.000,0.000,0.430
28/09/2021 23:48:14,0.000,3.472,5.498,0.000,0.000,0.323
28/09/2021 23:48:09,0.000,3.447,5.474,0.000,0.000,0.411
28/09/2021 23:48:04,0.000,3.459,5.486,0.000,0.000,0.406
28/09/2021 23:47:59,0.000,3.447,5.474,0.000,0.000,0.430
28/09/2021 23:47:54,0.000,3.459,5.498,0.000,0.000,0.396
28/09/2021 23:47:49,0.000,3.472,5.510,0.000,0.000,0.323
28/09/2021 23:47:44,0.000,3.472,5.498,0.000,0.000,0.347
28/09/2021 23:47:39,0.000,3.472,5.486,0.000,0.000,0.386
28/09/2021 23:47:34,0.000,3.447,5.498,0.000,0.000,0.425
28/09/2021 23:47:29,0.000,3.459,5.486,0.000,0.000,0.386
28/09/2021 23:47:24,0.000,3.472,5.486,0.000,0.000,0.415
28/09/2021 23:47:19,0.000,3.472,5.498,0.000,0.000,0.415
28/09/2021 23:47:14,0.000,3.472,5.498,0.000,0.000,0.425
28/09/2021 23:47:09,0.000,3.459,5.462,0.000,0.000,0.318
28/09/2021 23:47:04,0.000,3.459,5.498,0.000,0.000,0.425
28/09/2021 23:46:59,0.000,3.484,5.486,0.000,0.000,0.323
28/09/2021 23:46:54,0.000,3.472,5.486,0.000,0.000,0.332
28/09/2021 23:46:49,0.000,3.459,5.486,0.000,0.000,0.411
28/09/2021 23:46:44,0.000,3.472,5.474,0.000,0.000,0.381
28/09/2021 23:46:39,0.000,3.472,5.474,0.000,0.000,0.352
28/09/2021 23:46:34,0.000,3.472,5.450,0.000,0.000,0.401
28/09/2021 23:46:29,0.000,3.484,5.474,0.000,0.000,0.381
28/09/2021 23:46:24,0.000,3.459,5.474,0.000,0.000,0.332
28/09/2021 23:46:19,0.000,3.472,5.438,0.000,0.000,0.332
28/09/2021 23:46:14,0.000,3.472,5.450,0.000,0.000,0.415
28/09/2021 23:46:09,0.000,3.484,5.486,0.000,0.000,0.420
28/09/2021 23:46:04,0.000,3.484,5.462,0.000,0.000,0.332
28/09/2021 23:45:59,0.000,3.484,5.474,0.000,0.000,0.362
28/09/2021 23:45:54,0.000,3.484,5.450,0.000,0.000,0.411
28/09/2021 23:45:49,0.000,3.472,5.462,0.000,0.000,0.401
28/09/2021 23:45:44,0.000,3.484,5.462,0.000,0.000,0.440
28/09/2021 23:45:39,0.000,3.472,5.450,0.000,0.000,0.386
28/09/2021 23:45:34,0.000,3.472,5.462,0.000,0.000,0.401
